dt,z_k,,,,Update est,,,
,x,y,velocity x,Velocity y,x,y,velocity x,Velocity y
21.047543000000100,3.4271E+01,-2.2856E-01,4.9364E+01,-3.068E-02,3.3498E+01,-2.0883E-01,2.1476E+01,1.1047E-01
21.426419000000100,3.5705E+01,-2.2856E-01,4.967E+01,-1.2272E-01,3.5333E+01,-2.0358E-01,2.2138E+01,1.3029E-01
19.280334999999900,3.7296E+01,-2.1016E-01,-4.8989E+01,3.3748E-01,3.4791E+01,-2.0841E-01,2.0695E+01,7.0137E-02
20.897043000000200,3.8719E+01,-2.0862E-01,-4.8314E+01,5.2155E-01,3.4287E+01,-2.1039E-01,1.934E+01,1.5546E-02
22.04591900000010,4.0244E+01,-2.0862E-01,-4.8284E+01,3.068E-02,3.3808E+01,-2.2587E-01,1.8056E+01,-4.7989E-02
22.020543999999700,4.2E+01,-2.0862E-01,-4.8376E+01,0E+00,3.3358E+01,-2.4369E-01,1.6836E+01,-1.109E-01
20.482585999999900,4.3623E+01,-2.0862E-01,-4.6964E+01,0E+00,3.2967E+01,-2.6266E-01,1.5706E+01,-1.7116E-01
19.12750200000010,4.5199E+01,-2.1322E-01,-4.6596E+01,-9.2039E-02,3.2609E+01,-2.8527E-01,1.464E+01,-2.3163E-01
20.343752000000000,4.6737E+01,-2.1783E-01,-4.7118E+01,-1.2272E-01,3.2263E+01,-3.1025E-01,1.3618E+01,-2.9207E-01
19.364334999999800,4.8316E+01,-2.1322E-01,-4.7118E+01,6.1359E-02,3.194E+01,-3.3215E-01,1.2647E+01,-3.4803E-01
24.59450300000000,4.9795E+01,-2.1016E-01,-4.6289E+01,1.534E-01,3.1658E+01,-3.529E-01,1.1739E+01,-4.0054E-01
22.038043999999700,5.1586E+01,-2.0402E-01,-4.5522E+01,1.8408E-01,3.1422E+01,-3.7385E-01,1.0891E+01,-4.5085E-01
22.3066689999996,5.334E+01,-2.0402E-01,-4.6688E+01,6.1359E-02,3.1187E+01,-3.9929E-01,1.0065E+01,-5.038E-01
21.77379400000020,5.507E+01,-1.9635E-01,-4.6443E+01,1.534E-01,3.0983E+01,-4.2359E-01,9.2858E+00,-5.5412E-01
40.80737999999970,5.6889E+01,-1.9635E-01,-4.4847E+01,1.534E-01,3.0844E+01,-4.485E-01,8.5719E+00,-6.0189E-01
21.384709999999800,5.9664E+01,-2.301E-01,-4.7148E+01,-4.9087E-01,3.0701E+01,-4.9088E-01,7.8616E+00,-6.6209E-01
